Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0312,Generisk data,"Flüssiggastank 6400 l/2,9 t (oberirdisch)","LPG tank 6400 l / t 2,9 (overjordiske)",3107.97,0.957626,-,-1824.3,1,STK,1170,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c258eabc-6b25-4dff-8a92-b6240f0bccc5?version=20.19.120,
#G0315,Generisk data,"Aluminium-Flügelrahmenprofil, thermisch getrennt, pulverbeschichtet","Vinduesramme, aluminium",17.055,0.58799,-,-10.4202,1,M,1.51,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c1cacd2c-d98d-4795-84db-b567d25bb1ed?version=20.19.120,
#G0318,Generisk data,Lacksysteme Holzfassade deckend (Decklacksystem),"Overflade, Træmaling, udendørs, dækkende (topcoat-system)",2.74094,0.836874,-,-0.261171,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c1bc4706-9d3a-4468-8ecb-5a569226d75f?version=20.19.120,
#G0321,Generisk data,Sand 0/2 getrocknet,"Sand 0-2 mm, tørret",0.0332595,0.00733722,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c1b237e1-2206-4318-8d99-f023b8aeb5d6?version=20.19.120,
#G0324,Generisk data,Parkettlack transparent,"Overflade, Parket lak transparent",3.4614,0.912953,-,-0.256981,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c1328d7d-8ad6-4e74-a701-ffab0c542534?version=20.19.120,
#G0327,Generisk data,EVA-Dachbahnen,EVA-tagmembran,5.12518,7.9699,-,-3.60722,1,M2,2,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bff01a9a-6b09-429f-b7ff-17d84fbef7ec?version=20.19.120,
#G0330,Generisk data,Beton-Mauersteine,Betonmursten,242.351,13.4516,-,-4.10796,1,M3,2000,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bdda4364-451f-4df2-a68b-5912469ee4c9?version=20.19.120,
#G0333,Generisk data,Aluminium Profil,Aluminiumsprofil,10.677,-,0.00068207,-8.26778,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bd6d6d89-b76d-4002-a217-afffbb8aa308?version=20.19.120,
#G0334,Generisk data,Schotter 16/32,Skærver 16-32 mm,0.014695,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bd6aa879-e6e6-4181-afc5-1374b2f32dd1?version=20.19.120,
#G0337,Generisk data,Silikon-Dichtmasse,"Fugemasse, Silikone",7.26875,1.51829,-,-0.702716,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bc8d8fd4-6c25-4bd6-bcbf-6f994e8e5753?version=20.19.120,
#G0340,Generisk data,Steinzeugfliesen unglasiert,"Keramikfliser, u-glaseret",6.85115,0.146744,-,-0.0410796,1,M2,20,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bc2f9dde-f2a6-4630-bf7c-0ad3870012ef?version=20.19.120,
#G0343,Generisk data,Lüfter zentral mit WRG 1000 m³/h,Ventilationsaggregat m. varmegenvinding 1000 m3 / h,372.133,0.611164,0.0901424,-212.093,1,STK,99.1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/bc243a22-e260-43d9-9072-dc2006bf8d19?version=20.19.120,
#G0352,Generisk data,Acrylat Dichtmasse,"Fugemasse, Acryl",3.03501,2.19227,-,-1.01503,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b9272c24-9228-45b1-a2a3-d361abe0bb7f?version=20.19.120,
#G0355,Generisk data,Gipsputz (Gips),"Puds, gips-kalk",119.397,-,13.505,-,1,M3,900,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3?version=20.19.120,Note: der står både en densitet på 900 og 1000 i dette datasæt. Så her er det en vurdering.
